date,gpu,compute_cap,driver,package_version,commit,package_flavor,arch,groupm,kstages,tc_persist,samples,prep_ms_avg,prep_ms_med,search_ths_avg,search_ths_med,total_ths_avg,total_ths_med,mine_done_ths,draws,elapsed_s,found,postcheck,power_w,temp_c,sm_clock_mhz,mem_clock_mhz,notes
2026-06-22,NVIDIA GeForce RTX 5090,12.0,595.80,v1.2.15,44fe247,generic,portable-fatbin,128,3,default,20,,,327.82,327.01,324.91,324.13,306.86,,,0,smoke_ok_1,,,,,controlled_hard_target_default_persistent_generic_ptx_fallback
2026-06-22,NVIDIA GeForce RTX 5090,12.0,595.80,v1.2.15,44fe247,generic,portable-fatbin,128,3,0,20,,,322.64,321.39,319.81,318.62,311.10,,,0,not_repeated_for_this_row,,,,,controlled_hard_target_tc_persist_0_generic_ptx_fallback
2026-06-22,NVIDIA GeForce RTX 5090,12.0,595.80,v1.2.15,44fe247,generic,portable-fatbin,128,3,default,live_pool,,,,,,,,,,17,accepted_17_rejected_0_submit_timeout_0,575,69,2310,13801,live_60s_300.36_ths_10s_296.25_early15m_292.73_submit_wait_avg_0.80s_job_abort_avg_302.50
